"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15481","TC002_Add_Employee","chromium","2026-08-28","passed","2026-08-28","","TC002.spec.ts","",""
"","2937","TC001_Login_Logout","chromium","2026-08-28","passed","2026-08-28","","TC001.spec.ts","",""
